,id,label,count,louvain
0,trump,trump,454,4
1,stopthesteal,stopthesteal,1556,6
2,election,election,388,6
3,saveamerica,saveamerica,230,6
4,vote,vote,284,4
5,president,president,201,4
6,dc,dc,181,6
7,patriot,patriot,173,5
8,georgia,georgia,189,6
9,rally,rally,146,6
10,biden,biden,153,4
11,fraud,fraud,123,6
12,2020,2020,120,6
13,people,people,128,6
14,electionfraud,electionfraud,102,4
15,news,news,110,4
16,ballot,ballot,111,6
17,protest,protest,104,6
18,voterfraud,voterfraud,94,4
19,medium,medium,101,4
20,america,america,95,4
21,maga,maga,93,4
22,sayit,sayit,82,6
23,video,video,93,6
24,trump2020,trump2020,77,4
25,call,call,86,6
26,stop,stop,81,6
27,steal,steal,81,6
28,day,day,85,6
29,dominion,dominion,106,6
30,democrat,democrat,104,4
31,republican,republican,76,4
32,report,report,81,6
33,watch,watch,73,6
34,fight,fight,78,6
35,conservative,conservative,73,4
36,break,break,66,6
37,voter,voter,70,6
38,american,american,68,6
39,capitol,capitol,72,6
40,live,live,76,6
41,election2020,election2020,63,5
42,do,do,67,6
43,country,country,63,4
44,count,count,67,6
45,fakenews,fakenews,59,4
46,presidenttrump,presidenttrump,59,4
47,pennsylvania,pennsylvania,67,6
48,donaldtrump,donaldtrump,57,4
49,time,time,60,6
50,team,team,62,6
51,freespeech,freespeech,55,4
52,win,win,64,4
53,saturday,saturday,57,6
54,county,county,66,6
55,foxnews,foxnews,54,4
56,joe,joe,53,4
57,washington,washington,56,6
58,march,march,57,4
59,2,2,55,6
60,freedom,freedom,52,5
61,liberty,liberty,54,5
62,hear,hear,51,6
63,support,support,52,6
64,im,im,56,6
65,join,join,51,6
66,supporter,supporter,49,6
67,tomorrow,tomorrow,50,6
68,michigan,michigan,61,6
69,court,court,52,6
70,attemptedcoup,attemptedcoup,44,6
71,arizona,arizona,55,6
72,millionmagamarch,millionmagamarch,43,4
73,evidence,evidence,47,6
74,kag,kag,43,5
75,1,1,57,6
76,stand,stand,51,6
77,echo,echo,44,4
78,newsmax,newsmax,41,4
79,gop,gop,44,5
80,love,love,46,4
81,post,post,43,6
82,speak,speak,40,6
83,leave,leave,43,4
84,powell,powell,43,6
85,joebiden,joebiden,39,4
86,december,december,40,6
87,link,link,43,6
88,image,image,40,6
89,sidney,sidney,42,6
90,meme,meme,73,4
91,joke,joke,73,4
92,socialism,socialism,39,4
93,come,come,38,6
94,november,november,39,6
95,january,january,38,6
96,god,god,40,1
97,laugh,laugh,73,4
98,noon,noon,39,6
99,tonight,tonight,36,6
100,sleepyjoe,sleepyjoe,36,4
101,electionday,electionday,36,4
102,legalvotes,legalvotes,38,4
103,antifa,antifa,39,5
104,system,system,37,6
105,kraken,kraken,39,6
106,share,share,37,2
107,bluelivesmatter,bluelivesmatter,35,4
108,progressive,progressive,34,4
109,unitedstates,unitedstates,34,4
110,happen,happen,37,6
111,stopcensorship,stopcensorship,33,4
112,event,event,39,6
113,proudboys,proudboys,32,5
114,12,12,34,6
115,hour,hour,33,6
116,million,million,33,6
117,house,house,35,9
118,harris,harris,31,4
119,head,head,31,6
120,1776,1776,30,5
121,senate,senate,33,6
122,bring,bring,31,6
123,political,political,30,5
124,legal,legal,30,6
125,peaceful,peaceful,31,6
126,nevada,nevada,39,6
127,donald,donald,30,4
128,spend,spend,29,5
129,6,6,28,6
130,msm,msm,28,4
131,liberal,liberal,44,4
132,street,street,31,6
133,lose,lose,34,1
134,thousand,thousand,28,6
135,magamarch,magamarch,26,4
136,demand,demand,26,6
137,world,world,28,4
138,4,4,29,6
139,ga,ga,29,6
140,audit,audit,29,6
141,3,3,28,6
142,corruption,corruption,25,5
143,witness,witness,28,6
144,china,china,28,5
145,covid,covid,26,5
146,kag2020,kag2020,25,5
147,twitter,twitter,25,6
148,americansupremacist,americansupremacist,24,5
149,swag,swag,24,5
150,recount,recount,26,6
151,save,save,25,4
152,lawsuit,lawsuit,24,6
153,night,night,25,6
154,cnn,cnn,24,4
155,california,california,26,6
156,draintheswamp,draintheswamp,24,5
157,stay,stay,25,6
158,plan,plan,24,6
159,interview,interview,24,6
160,potus,potus,23,6
161,campaign,campaign,26,6
162,veteran,veteran,26,4
163,start,start,24,6
164,text,text,24,6
165,tweet,tweet,25,6
166,real,real,24,4
167,pa,pa,27,6
168,5,5,24,6
169,tell,tell,23,6
170,hold,hold,22,9
171,massive,massive,22,6
172,supreme,supreme,24,6
173,stopthestealus,stopthestealus,22,6
174,pm,pm,25,6
175,atlanta,atlanta,22,6
176,morning,morning,22,6
177,release,release,23,6
178,christian,christian,22,5
179,statement,statement,25,6
180,parler,parler,22,2
181,announce,announce,22,6
182,iconicaf,iconicaf,21,5
183,update,update,21,6
184,texas,texas,21,6
185,city,city,24,6
186,veteransday,veteransday,21,4
187,bradjohnsoncia,bradjohnsoncia,21,5
188,air,air,21,5
189,trumptrain,trumptrain,21,5
190,secretary,secretary,21,6
191,build,build,22,2
192,movement,movement,21,1
193,funny,funny,21,4
194,factcheck,factcheck,20,4
195,electoral,electoral,21,6
196,alert,alert,21,6
197,infowars,infowars,23,6
198,history,history,20,6
199,marchfortrump,marchfortrump,20,6
200,walkaway,walkaway,20,5
201,concede,concede,25,4
202,deepstate,deepstate,20,5
203,istandwithtrump,istandwithtrump,20,6
204,wont,wont,22,2
205,truth,truth,21,6
206,nation,nation,21,6
207,send,send,24,6
208,prove,prove,19,4
209,senator,senator,20,6
210,power,power,21,6
211,poll,poll,20,6
212,security,security,20,6
213,conservativemedia,conservativemedia,19,5
214,firstamendment,firstamendment,19,5
215,week,week,19,6
216,capital,capital,21,6
217,youre,youre,22,4
218,matter,matter,19,1
219,friend,friend,20,6
220,footage,footage,21,6
221,governor,governor,19,6
222,press,press,21,6
223,leader,leader,21,1
224,receive,receive,21,6
225,government,government,20,6
226,unite,unite,19,6
227,rudy,rudy,19,6
228,move,move,19,6
229,official,official,18,6
230,republic,republic,18,6
231,attack,attack,19,2
232,result,result,18,6
233,website,website,20,6
234,article,article,18,6
235,national,national,18,6
236,machine,machine,20,6
237,coverage,coverage,22,6
238,americansforintelligencereform,americansforintelligencereform,18,5
239,conservativenews,conservativenews,18,5
240,independentmedia,independentmedia,18,5
241,patriotnews,patriotnews,18,5
242,protecttheconstitution,protecttheconstitution,18,5
243,bluestateconservatives,bluestateconservatives,18,5
244,christianconservative,christianconservative,18,5
245,youngconservatives,youngconservatives,18,5
246,fiscalconservative,fiscalconservative,18,5
247,redpill,redpill,18,5
248,secondamendment,secondamendment,18,5
249,presidential,presidential,18,6
250,information,information,21,6
251,message,message,21,6
252,continue,continue,20,6
253,godwins,godwins,18,4
254,office,office,20,4
255,citizen,citizen,18,6
256,scotus,scotus,23,6
257,socialist,socialist,18,4
258,comedy,comedy,17,4
259,subscribe,subscribe,17,6
260,party,party,19,1
261,free,free,18,1
262,change,change,17,6
263,lin,lin,21,6
264,wood,wood,19,6
265,law,law,19,6
266,refuse,refuse,17,6
267,fightback,fightback,16,5
268,family,family,17,4
269,include,include,16,6
270,pay,pay,16,6
271,attention,attention,16,6
272,christmas,christmas,20,5
273,msnbc,msnbc,16,4
274,smile,smile,17,4
275,white,white,16,9
276,blm,blm,17,4
277,gather,gather,17,6
278,certify,certify,17,6
279,833,833,16,6
280,4700438,4700438,16,6
281,whistleblower,whistleblower,18,6
282,fair,fair,16,6
283,foreign,foreign,19,6
284,pray,pray,18,6
285,trumpwon,trumpwon,16,6
286,meet,meet,17,6
287,miami,miami,22,6
288,guy,guy,17,4
289,rep,rep,19,6
290,set,set,16,6
291,weve,weve,19,6
292,home,home,15,1
293,lie,lie,16,6
294,wisconsin,wisconsin,15,6
295,fakenewsmedia,fakenewsmedia,15,4
296,kamalaharris,kamalaharris,15,4
297,liberallogic,liberallogic,15,4
298,socialismsucks,socialismsucks,15,4
299,rule,rule,16,6
300,list,list,17,6
301,arrive,arrive,15,6
302,question,question,15,6
303,college,college,15,6
304,leftwing,leftwing,15,5
305,attend,attend,18,6
306,weekend,weekend,15,6
307,wow,wow,16,6
308,mailin,mailin,15,6
309,attorney,attorney,15,6
310,ready,ready,15,6
311,file,file,15,6
312,job,job,15,6
313,decide,decide,15,6
314,bad,bad,15,4
315,12pm,12pm,16,6
316,war,war,15,1
317,yesterday,yesterday,15,6
318,mayor,mayor,16,6
319,thread,thread,14,5
320,style,style,14,5
321,race,race,17,6
322,absentee,absentee,15,6
323,affidavit,affidavit,15,6
324,bless,bless,17,1
325,child,child,15,4
326,liberalhypocrisy,liberalhypocrisy,14,4
327,follow,follow,15,6
328,fraudulent,fraudulent,14,6
329,2021,2021,14,6
330,expose,expose,15,6
331,local,local,14,6
332,safe,safe,16,6
333,patriotic,patriotic,14,6
334,philadelphia,philadelphia,14,6
335,jan6,jan6,14,6
336,lead,lead,15,6
337,cover,cover,14,6
338,catch,catch,15,6
339,life,life,15,1
340,mainstream,mainstream,14,6
341,integrity,integrity,15,6
342,speech,speech,13,6
343,drip,drip,13,5
344,fashion,fashion,13,5
345,smartmatic,smartmatic,18,6
346,florida,florida,14,6
347,mean,mean,14,1
348,project,project,14,6
349,backtheblue,backtheblue,13,4
350,front,front,14,6
351,dead,dead,13,6
352,hundred,hundred,13,6
353,fund,fund,19,6
354,roger,roger,14,6
355,proud,proud,14,4
356,hell,hell,13,4
357,hes,hes,17,5
358,bidens,bidens,13,6
359,destroy,destroy,14,1
360,clip,clip,14,1
361,kemp,kemp,16,6
362,victory,victory,13,6
363,software,software,15,6
364,wait,wait,13,6
365,take,take,13,6
366,huge,huge,13,6
367,doesnt,doesnt,16,6
368,conference,conference,15,6
369,6th,6th,12,6
370,heres,heres,13,6
371,whats,whats,12,1
372,ill,ill,12,6
373,poyb,poyb,12,5
374,line,line,12,9
375,lawyer,lawyer,14,6
376,provide,provide,12,6
377,push,push,13,4
378,wwg1wga,wwg1wga,13,4
379,comment,comment,12,4
380,red,red,12,6
381,forward,forward,12,4
382,rest,rest,12,6
383,miss,miss,13,6
384,caravan,caravan,12,6
385,travel,travel,12,6
386,electiontheft,electiontheft,12,6
387,chairman,chairman,12,6
388,issue,issue,12,6
389,usps,usps,13,6
390,rome,rome,12,5
391,rinos,rinos,12,5
392,social,social,12,4
393,public,public,12,6
394,theyre,theyre,13,5
395,sale,sale,12,6
396,wildprotest,wildprotest,12,6
397,datum,datum,15,6
398,stone,stone,13,6
399,money,money,13,6
400,play,play,12,2
401,20,20,12,6
402,check,check,14,6
403,voice,voice,14,6
404,run,run,12,4
405,panic,panic,13,6
406,deep,deep,11,1
407,fly,fly,11,6
408,fellow,fellow,11,4
409,30,30,11,6
410,agree,agree,11,4
411,democratsarecurrupt,democratsarecurrupt,11,4
412,explain,explain,12,6
413,holdtheline,holdtheline,11,9
414,legislature,legislature,11,6
415,phone,phone,11,5
416,sunday,sunday,14,6
417,talk,talk,12,1
418,attempt,attempt,11,6
419,center,center,11,6
420,honest,honest,11,6
421,didnt,didnt,12,4
422,cia,cia,11,5
423,monday,monday,13,6
424,jones,jones,11,6
425,revolution,revolution,13,5
426,find,find,11,6
427,plaza,plaza,11,6
428,act,act,12,6
429,sid,sid,11,6
430,silence,silence,12,2
431,hand,hand,11,1
432,candidate,candidate,12,4
433,peacefully,peacefully,11,6
434,close,close,13,6
435,boy,boy,11,5
436,est,est,11,6
437,special,special,13,6
438,force,force,14,6
439,lockdowns,lockdowns,12,6
440,fire,fire,10,6
441,safety,safety,10,6
442,democratsaredestroyingamerica,democratsaredestroyingamerica,10,4
443,democratshateamerica,democratshateamerica,10,4
444,word,word,10,4
445,drop,drop,10,6
446,cyber,cyber,10,6
447,broadcast,broadcast,10,6
448,coup,coup,10,6
449,proof,proof,10,6
450,sign,sign,10,5
451,reminder,reminder,10,4
452,mi6,mi6,10,5
453,pompeo,pompeo,10,5
454,statedepartment,statedepartment,10,5
455,italy,italy,10,5
456,embassy,embassy,10,5
457,faith,faith,10,2
458,usa,usa,12,2
459,ive,ive,11,6
460,major,major,10,6
461,john,john,10,9
462,flight,flight,10,6
463,info,info,10,2
464,fox,fox,10,6
465,month,month,11,6
466,transparent,transparent,10,6
467,10,10,10,6
468,walk,walk,10,6
469,isnt,isnt,10,4
470,deserve,deserve,11,6
471,irregularity,irregularity,10,6
472,begin,begin,10,9
473,bill,bill,10,6
474,hill,hill,11,2
475,note,note,11,6
476,drive,drive,13,6
477,flag,flag,10,4
478,remember,remember,11,6
479,care,care,11,4
480,hotel,hotel,14,6
481,prayer,prayer,12,6
482,wrong,wrong,10,4
483,coalition,coalition,9,6
484,tire,tire,9,2
485,learn,learn,9,6
486,wildprotestcom,wildprotestcom,9,6
487,urge,urge,10,6
488,swamp,swamp,9,9
489,create,create,9,6
490,protect,protect,10,4
491,blacklivesmatter,blacklivesmatter,9,4
492,scott,scott,11,6
493,illegal,illegal,9,6
494,fl,fl,10,6
495,justice,justice,10,6
496,constitution,constitution,9,6
497,threat,threat,11,6
498,7,7,9,6
499,flynn,flynn,12,6
500,crowd,crowd,9,6
501,grind,grind,9,5
502,worker,worker,12,6
503,date,date,9,6
504,enter,enter,9,6
505,intelreformorg,intelreformorg,9,5
506,terrorist,terrorist,9,4
507,board,board,10,2
508,alex,alex,9,6
509,document,document,9,6
510,account,account,9,6
511,forget,forget,10,6
512,2016,2016,10,6
513,emergency,emergency,9,6
514,crazy,crazy,10,4
515,dr,dr,10,6
516,single,single,10,4
517,evil,evil,9,4
518,business,business,11,1
519,error,error,14,6
520,ag,ag,9,6
521,entire,entire,9,6
522,oppose,oppose,11,6
523,hard,hard,9,6
524,help,help,9,4
525,record,record,11,6
526,woot,woot,11,6
527,tech,tech,11,6
528,determine,determine,9,1
529,military,military,12,9
530,allege,allege,9,6
531,investigation,investigation,9,6
532,black,black,11,5
533,pick,pick,9,6
534,photo,photo,9,4
535,request,request,9,6
536,dallas,dallas,9,6
537,content,content,11,6
538,ban,ban,10,6
539,park,park,10,6
540,founder,founder,8,6
541,traitor,traitor,8,4
542,vaccine,vaccine,8,5
543,ronna,ronna,8,2
544,theft,theft,8,6
545,rnc,rnc,8,6
546,police,police,9,6
547,make,make,8,4
548,episode,episode,8,4
549,factsmatter,factsmatter,8,4
550,transition,transition,10,9
551,penny,penny,8,6
552,rick,rick,11,6
553,jan,jan,8,6
554,overwhelm,overwhelm,8,6
555,tx,tx,8,6
556,az,az,8,6
557,alexjonesshow,alexjonesshow,8,6
558,watcher,watcher,9,6
559,storm,storm,8,6
560,spread,spread,8,6
561,chant,chant,8,6
562,base,base,10,5
563,big,big,8,1
564,hope,hope,8,6
565,land,land,8,6
566,director,director,8,6
567,intelligence,intelligence,12,9
568,godblessamerica,godblessamerica,8,5
569,nov,nov,9,6
570,challenge,challenge,8,6
571,fake,fake,8,2
572,late,late,9,6
573,cobb,cobb,11,6
574,answer,answer,8,5
575,sing,sing,9,5
576,allegation,allegation,8,6
577,process,process,8,4
578,elect,elect,8,6
579,death,death,8,1
580,austin,austin,8,6
581,total,total,9,6
582,presidentelect,presidentelect,10,4
583,ellieb,ellieb,9,6
